load,compose-post-service,home-timeline-redis,home-timeline-service,jaeger,media-frontend,media-memcached,media-mongodb,media-service,nginx-thrift,post-storage-memcached,post-storage-mongodb,post-storage-service,social-graph-mongodb,social-graph-redis,social-graph-service,text-service,unique-id-service,url-shorten-memcached,url-shorten-mongodb,url-shorten-service,user-memcached,user-mention-service,user-mongodb,user-service,user-timeline-mongodb,user-timeline-redis,user-timeline-service
25,"(0.0016383333333333345, 1)","(0.0, 1)","(0.011936833333333337, 1)","(0.0058471666666667, 1)","(0.0, 1)","(0.0, 1)","(0.0, 1)","(0.0, 1)","(0.0, 1)","(0.0, 1)","(0.04080833333333334, 1)","(0.005053, 1)","(0.0, 1)","(0.007348333333333337, 1)","(0.0, 1)","(0.010667166666666669, 1)","(0.0034985000000000007, 1)","(0.0, 1)","(0.0, 1)","(0.0, 1)","(0.0, 1)","(0.0, 1)","(0.0, 1)","(0.006734000000000002, 1)","(0.0, 1)","(0.007456166666666667, 1)","(0.011576166666666669, 1)"
50,"(0.012910666666666517, 1)","(0.0, 1)","(0.0, 1)","(0.0018287777777779015, 1)","(0.0, 1)","(0.0, 1)","(0.012412000000000017, 1)","(0.010226333333333351, 1)","(0.0, 1)","(0.0009379999999999992, 1)","(0.0, 1)","(0.004122999999999951, 1)","(0.0, 1)","(0.007101333333333331, 1)","(0.0, 1)","(0.009074166666666569, 1)","(0.012874833333333354, 1)","(0.0, 1)","(0.1849883333333335, 1)","(0.0, 1)","(0.0, 1)","(0.0, 1)","(0.012389555555555494, 1)","(0.008752222222222224, 1)","(0.0, 1)","(0.0, 1)","(0.0, 1)"
75,"(0.08057483333333339, 1)","(0.005084333333333358, 1)","(0.0, 1)","(0.0, 1)","(0.0005898333333333312, 1)","(0.0015936666666666692, 1)","(0.0, 1)","(0.009023999999999996, 1)","(0.04874866666666656, 1)","(0.0, 1)","(0.0, 1)","(0.0, 1)","(0.0, 1)","(0.0, 1)","(0.022488000000000067, 1)","(0.0, 1)","(0.0175715, 1)","(0.0, 1)","(0.2954120000000001, 1)","(0.009646833333333346, 1)","(0.005091499999999953, 1)","(0.0, 1)","(0.0, 1)","(0.0, 1)","(0.2952530000000001, 1)","(0.0, 1)","(0.025033333333333317, 1)"
100,"(0.0, 1)","(0.0, 1)","(0.0, 1)","(0.010089333333333174, 1)","(0.0007353333333333286, 1)","(0.0, 1)","(0.0, 1)","(0.0, 1)","(0.0, 1)","(0.0, 1)","(0.0, 1)","(0.0, 1)","(0.0, 1)","(0.0, 1)","(0.056697333333332864, 1)","(0.0, 1)","(0.009819833333333399, 1)","(0.0015348333333333373, 1)","(0.0, 1)","(0.0, 1)","(0.02286000000000025, 1)","(0.060011333333333645, 1)","(0.03451066666666681, 1)","(0.0, 1)","(0.0, 1)","(0.016841833333333337, 1)","(0.0, 1)"
125,"(0.17831166666666573, 1)","(0.0, 1)","(0.0, 1)","(0.07424950000000054, 1)","(0.0, 1)","(0.0, 1)","(0.015686666666666703, 1)","(0.0, 1)","(0.0, 1)","(0.0, 1)","(0.02474800000000007, 1)","(0.0, 1)","(0.0, 1)","(0.0, 1)","(0.0, 1)","(0.0, 1)","(0.02728283333333348, 1)","(0.0010449999999999995, 1)","(0.17375850000000048, 1)","(0.03980400000000018, 1)","(0.03386266666666681, 1)","(0.10493283333333282, 1)","(0.03244500000000035, 1)","(0.0, 1)","(0.3674596666666664, 1)","(0.0, 1)","(0.0435518333333332, 1)"
150,"(0.07635433333333216, 1)","(0.0, 1)","(0.015055999999999516, 1)","(0.0, 1)","(0.0, 1)","(0.000585333333333339, 1)","(0.0, 1)","(0.007318166666666553, 1)","(0.0, 1)","(0.0007854444444444559, 1)","(0.048973333333333834, 1)","(0.0, 1)","(0.032027833333333554, 1)","(0.0028950000000001414, 1)","(0.0, 1)","(0.0, 1)","(0.011363999999999782, 1)","(0.0, 1)","(0.0, 1)","(0.020995111111111225, 1)","(0.041533999999999814, 1)","(0.09356133333333243, 1)","(0.0, 1)","(0.020395499999999938, 1)","(0.21000533333333415, 1)","(0.0, 1)","(0.03998433333333335, 1)"
175,"(0.0, 1)","(0.0, 1)","(0.034584000000000024, 1)","(0.008334333333332705, 1)","(0.0, 1)","(0.0, 1)","(0.019277833333333366, 1)","(0.0, 1)","(0.0, 1)","(0.000913222222222232, 1)","(0.010302333333333833, 1)","(0.0, 1)","(0.054729333333333116, 1)","(0.0, 1)","(0.0541573333333329, 1)","(0.07830100000000093, 1)","(0.0, 1)","(0.0011594999999999986, 1)","(0.0, 1)","(0.0, 1)","(0.0, 1)","(0.0, 1)","(0.0, 1)","(0.03234033333333327, 1)","(0.0, 1)","(0.013934833333333195, 1)","(0.0, 1)"
200,"(0.0, 1)","(0.0034266666666666647, 1)","(0.0, 1)","(0.03996250000000146, 1)","(0.0006819999999999975, 1)","(0.0, 1)","(0.012959666666666555, 1)","(0.0, 1)","(0.0, 1)","(0.0010486666666666609, 1)","(0.0, 1)","(0.0, 1)","(0.02163444444444451, 1)","(0.0, 1)","(0.020569555555555202, 1)","(0.0006985555555555973, 1)","(0.0, 1)","(0.0, 1)","(0.24707500000000004, 1)","(0.0, 1)","(0.0, 1)","(0.06924499999999986, 1)","(0.04309200000000028, 1)","(0.01966350000000006, 1)","(0.0, 1)","(0.0, 1)","(0.06848855555555626, 1)"
225,"(0.0010212222222207856, 1)","(0.005942666666666578, 1)","(0.000959555555555072, 1)","(0.0, 1)","(0.0, 1)","(0.0011365000000000218, 1)","(0.0069509999999998314, 1)","(0.006885111111110911, 1)","(0.21137799999999946, 1)","(0.0013173333333333557, 1)","(0.0, 1)","(0.0, 1)","(0.0, 1)","(0.0, 1)","(0.0, 1)","(0.0, 1)","(0.0, 1)","(0.0, 1)","(0.0, 1)","(0.02796516666666686, 1)","(0.021375666666666387, 1)","(0.0008134444444433737, 1)","(0.0, 1)","(0.0, 1)","(0.0, 1)","(0.023465222222222103, 1)","(0.013367333333332475, 1)"
250,"(0.0, 1)","(0.005070333333333289, 1)","(0.02231977777777811, 1)","(0.0, 1)","(0.0003744444444444427, 1)","(0.001032666666666682, 1)","(0.01881000000000022, 1)","(0.0388348888888888, 1)","(0.17108249999999242, 1)","(0.0, 1)","(0.0, 1)","(0.04661166666666598, 1)","(0.0259885000000016, 1)","(0.0, 1)","(0.07269499999999597, 1)","(0.040036333333333125, 1)","(0.0, 1)","(0.0006416666666666515, 1)","(0.16321355555555153, 1)","(0.006617499999999648, 1)","(0.0, 1)","(0.0, 1)","(0.01634066666666772, 1)","(0.0, 1)","(0.0, 1)","(0.0, 1)","(0.0, 1)"
